index,Job_ title,Salary _estimate,Rating,Company _name,Job_state,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Min_salary,Max_ salary,Avg_Salary,Job
14,Data Scientist,137 -171 ,3.4,"Mathematica Policy Research
3.4",DC,"Washington, DC","Princeton, NJ",1001 to 5000 employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),137,171,154,Data Scientist
15,Experienced Data Scientist,137 -171 ,4.4,"Guzman & Griffin Technologies (GGTI)
4.4",DC,"Washington, DC","Mays Landing, NJ",1 to 50 employees,1997,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,137,171,154,Data Scientist
17,Data Scientist,137 -171 ,3.5,"Buckman
3.5",TN,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),137,171,154,Data Scientist
18,Data Analyst II,137 -171 ,4.2,"Insight Enterprises, Inc.
4.2",TX,"Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),137,171,154,Data Analyst
19,Medical Lab Scientist,137 -171 ,3.5,"Tower Health
3.5",PA,"West Grove, PA","Reading, PA",5001 to 10000 employees,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137,171,154,Data Scientist
20,Data Scientist,137 -171 ,3.2,"Triplebyte
3.2",NY,"New York, NY","San Francisco, CA",51 to 200 employees,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,171,154,Data Scientist
21,Data Scientist/Machine Learning,137 -171 ,4.3,"PulsePoint
4.3",NY,"New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),137,171,154,Data Scientist
22,Human Factors Scientist,137 -171 ,3.5,"Exponent
3.5",AZ,"Phoenix, AZ","Menlo Park, CA",1001 to 5000 employees,1967,Company - Public,Consulting,Business Services,$100 to $500 million (USD),137,171,154,Data Scientist
23,Business Intelligence Analyst I- Data Insights,137 -171 ,3.5,"Guardian Life
3.5",WI,"Appleton, WI","New York, NY",5001 to 10000 employees,1860,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD),137,171,154,Data Analyst
24,Data Scientist,137 -171 ,3.4,"Spectrum Communications and Consulting
3.4",IL,"Chicago, IL","Chicago, IL",51 to 200 employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137,171,154,Data Scientist
25,Data Scientist,137 -171 ,4.7,"Oversight Systems
4.7",GA,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),137,171,154,Data Scientist
26,Data Scientist - Risk,137 -171 ,4.2,"LSQ
4.2",FL,"Orlando, FL","Orlando, FL",51 to 200 employees,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),137,171,154,Data Scientist
27,Data Scientist-Human Resources,137 -171 ,3.8,"MIT Lincoln Laboratory
3.8",MA,"Lexington, MA","Lexington, MA",1001 to 5000 employees,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,137,171,154,Data Scientist
28,Data Scientist,137 -171 ,4.5,"Kingfisher Systems
4.5",VA,"McLean, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),137,171,154,Data Scientist
29,Data Scientist,137 -171 ,2.8,"Formation
2.8",CA,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,171,154,Data Scientist
30,Data Scientist,75 -131 ,3.8,"Analysis Group
3.8",MA,"Boston, MA","Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),137,131,134,Data Scientist
31,Data Scientist / Machine Learning Expert,75 -131 ,3.9,"Novartis
3.9",MA,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,131,134,Data Scientist
32,Data Scientist,75 -131 ,5,"Cohere Health
5.0",MA,"Boston, MA","Boston, MA",1 to 50 employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,137,131,134,Data Scientist
33,Senior Research Statistician- Data Scientist,75 -131 ,4.8,"Acuity Insurance
4.8",WI,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),137,131,134,Data Scientist
35,Associate Data Scientist,75 -131 ,3.3,"Puget Sound Energy
3.3",WA,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),137,131,134,Data Scientist
36,Business Intelligence Analyst,75 -131 ,2.7,"Sandhills Global
2.7",NE,"Lincoln, NE","Lincoln, NE",1001 to 5000 employees,1978,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),137,131,134,Data Analyst
37,Data Scientist,75 -131 ,2.7,"A Place for Mom
2.7",KS,"Overland Park, KS","New York, NY",501 to 1000 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137,131,134,Data Scientist
38,Data Scientist,75 -131 ,2.2,"Great-Circle Technologies
2.2",VA,"Chantilly, VA","Chantilly, VA",1 to 50 employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),137,131,134,Data Scientist
39,Senior Analyst/Data Scientist,75 -131 ,3.4,"Edmunds.com
3.4",CA,"Santa Monica, CA","Santa Monica, CA",501 to 1000 employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD),137,131,134,Data Scientist
40,Data Analyst,75 -131 ,3.1,"Cambridge Associates, LLC
3.1",MA,"Boston, MA","Boston, MA",501 to 1000 employees,1973,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),137,131,134,Data Analyst
41,Machine Learning Engineer,75 -131 ,3.4,"Liberty Mutual Insurance
3.4",NH,"Portsmouth, NH","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),137,131,134,NA
42,Data Analyst I,75 -131 ,2.6,"Cenlar
2.6",NJ,"Ewing, NJ","Ewing, NJ",1001 to 5000 employees,1958,Company - Private,-1,-1,$100 to $500 million (USD),137,131,134,Data Analyst
43,Scientist - Molecular Biology,75 -131 ,5,"Arsenal Biosciences
5.0",CA,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,131,134,Data Scientist
44,Data Scientist,75 -131 ,4.2,"Eversight
4.2",CA,"Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),137,131,134,Data Scientist
45,"Computational Scientist, Machine Learning",75 -131 ,4.1,"Pfizer
4.1",MA,"Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,131,134,Data Scientist
46,Senior Data Scientist,75 -131 ,4.8,"Klaviyo
4.8",MA,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,131,134,Data Scientist
47,Data Scientist,75 -131 ,3.3,"Intellectual Ventures
3.3",WA,"Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,137,131,134,Data Scientist
48,Data Scientist,75 -131 ,3.7,"GovTech
3.7",CA,"San Francisco, CA","Singapore, Singapore",1001 to 5000 employees,2016,Government,Federal Agencies,Government,Unknown / Non-Applicable,137,131,134,Data Scientist
49,Data Scientist,75 -131 ,4.3,"Quick Base
4.3",MA,"Cambridge, MA","Cambridge, MA",201 to 500 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,131,134,Data Scientist
50,Data Analyst,75 -131 ,4.8,"Giving Assistant
4.8",CA,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2014,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137,131,134,Data Analyst
51,Data Scientist,75 -131 ,3.7,"Takeda
3.7",MA,"Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,131,134,Data Scientist
52,Data Scientist,75 -131 ,4,"Netskope
4.0",CA,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,131,134,Data Scientist
54,E-Commerce Data Analyst,75 -131 ,3.5,"iSeatz
3.5",LA,"New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,137,131,134,Data Analyst
55,Data Analytics Engineer,75 -131 ,3.7,"Summa Health System
3.7",OH,"Akron, OH","Akron, OH",5001 to 10000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),137,131,134,NA
56,Senior Data Scientist,75 -131 ,3.5,"Benson Hill
3.5",MO,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),137,131,134,Data Scientist
57,Product Data Scientist - Ads Data Science,75 -131 ,4.1,"Twitter
4.1",CA,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),137,131,134,Data Scientist
58,Data Scientist,75 -131 ,3.2,"Postmates - Corporate HQ
3.2",CA,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,137,131,134,Data Scientist
59,Data Scientist - Intermediate,75 -131 ,4.5,"Envision LLC
4.5",MO,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),137,131,134,Data Scientist
60,Data Analyst,75 -131 ,3.8,"Swiss Re
3.8",IN,"Fort Wayne, IN","Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),137,131,134,Data Analyst
61,Machine Learning Engineer,75 -131 ,4.5,"Systems & Technology Research
4.5",MA,"Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),137,131,134,NA
62,Data Scientist,79 -131 ,3.5,"iRobot
3.5",MA,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),137,131,134,Data Scientist
63,Data Scientist,79 -131 ,4.2,"HG Insights
4.2",CA,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,131,134,Data Scientist
64,Global Data Analyst,79 -131 ,3.8,"Dermalogica
3.8",CA,"Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),137,131,134,Data Analyst
65,Data Engineer,79 -131 ,3.7,"Bayview Asset Management
3.7",FL,"Coral Gables, FL","Coral Gables, FL",1001 to 5000 employees,1995,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),137,131,134,NA
66,Data Scientist,79 -131 ,3.7,"Via Transportation
3.7",NY,"New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,137,131,134,Data Scientist
67,Data Scientist,79 -131 ,4,"Grid Dynamics
4.0",CA,"Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),137,131,134,Data Scientist
68,Data & Machine Learning Scientist,79 -131 ,3.3,"Tempus Labs
3.3",IL,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,131,134,Data Scientist
69,Data Scientist - Machine Learning,79 -131 ,2.5,"CareDx
2.5",CA,"Brisbane, CA","Brisbane, CA",1 to 50 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,131,134,Data Scientist
70,Data Engineer (Remote),79 -131 ,4.2,"IZEA
4.2",FL,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),137,131,134,NA
71,"Data Scientist, Applied Machine Learning - Bay Area",79 -131 ,3.3,"Tempus Labs
3.3",CA,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,131,134,Data Scientist
72,Principal Data Scientist,79 -131 ,4,"Autodesk
4.0",CA,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,131,134,Data Scientist
73,Business Data Analyst,79 -131 ,3.7,"Caterpillar
3.7",IL,"Peoria, IL","Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),137,131,134,Data Analyst
74,Purification Scientist,79 -131 ,4.9,"New England Biolabs
4.9",MA,"Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,131,134,Data Scientist
75,Data Analyst,79 -131 ,3.4,"Allied Solutions
3.4",IN,"Carmel, IN","Carmel, IN",1001 to 5000 employees,2001,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),137,131,134,Data Analyst
76,"Data Engineer, Enterprise Analytics",79 -131 ,3.1,"Healthfirst
3.1",NY,"New York, NY","New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,131,134,NA
77,Data Scientist,79 -131 ,3.5,"The Knot Worldwide
3.5",DC,"Washington, DC","Chevy Chase, MD",1001 to 5000 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,137,131,134,Data Scientist
78,Data Scientist,79 -131 ,2.9,"IFG Companies
2.9",NY,"New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,137,131,134,Data Scientist
79,Data Scientist 3 (718),79 -131 ,3.3,"Amyris
3.3",CA,"Emeryville, CA","Emeryville, CA",201 to 500 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),137,131,134,Data Scientist
80,"Real World Science, Data Scientist",79 -131 ,4,"AstraZeneca
4.0",MD,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,131,134,Data Scientist
81,Data Scientist,79 -131 ,3.6,"Powertek
3.6",DC,"Washington, DC","Rockville, MD",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),137,131,134,Data Scientist
82,Data Engineer,79 -131 ,4.7,"Object Partners
4.7",MO,"Saint Louis, MO","Minneapolis, MN",51 to 200 employees,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),137,131,134,NA
83,Data Scientist - Image and Video Analytics,79 -131 ,4.9,"The Mom Project
4.9",CO,"Longmont, CO","Chicago, IL",1 to 50 employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,137,131,134,Data Scientist
84,Data Scientist,79 -131 ,4.3,"Lightspeed Systems
4.3",TX,"Austin, TX","Austin, TX",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),137,131,134,Data Scientist
85,"Data Science Manager, Payment Acceptance - USA",79 -131 ,4,"Stripe
4.0",CA,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,137,131,134,NA
86,Data Analyst,79 -131 ,2.6,"Comprehensive Healthcare
2.6",WA,"Yakima, WA","Yakima, WA",501 to 1000 employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137,131,134,Data Analyst
87,Data Scientist / Applied Mathematician,79 -131 ,4.5,"Fullpower Technologies, Inc.
4.5",CA,"Santa Cruz, CA","Santa Cruz, CA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),137,131,134,Data Scientist
88,Machine Learning Engineer,79 -131 ,4.8,"Klaviyo
4.8",MA,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,131,134,NA
90,Patient Safety- Associate Data Scientist,79 -131 ,4,"AstraZeneca
4.0",MD,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),137,131,134,Data Scientist
91,Machine Learning Engineer,79 -131 ,4.4,"NuWave Solutions
4.4",VA,"Springfield, VA","Mc Lean, VA",51 to 200 employees,1999,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),137,131,134,NA
92,Senior Data Scientist,79 -131 ,4.2,"ManTech
4.2",VA,"Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),137,131,134,Data Scientist
94,Data Scientist,99 -132 ,3.4,"Mathematica Policy Research
3.4",DC,"Washington, DC","Princeton, NJ",1001 to 5000 employees,1986,Company - Private,Consulting,Business Services,$100 to $500 million (USD),137,132,134.5,Data Scientist
95,Staff Data Scientist - Analytics,99 -132 ,4.4,"Intuit - Data
4.4",CA,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,132,134.5,Data Scientist
96,Data Analytics Engineer,99 -132 ,3.5,"QOMPLX
3.5",VA,"Reston, VA","Reston, VA",51 to 200 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),137,132,134.5,NA
97,"Data Scientist, Kinship - NYC/Portland",99 -132 ,3.9,"Mars
3.9",NY,"New York, NY","Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),137,132,134.5,Data Scientist
98,Senior Data Scientist,99 -132 ,3.8,"GutCheck
3.8",CO,"Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),137,132,134.5,Data Scientist
99,Applied Technology Researcher / Data Scientist,99 -132 ,3.5,"Inter-American Development Bank
3.5",DC,"Washington, DC","Washington, DC",1001 to 5000 employees,1959,Other Organization,Banks & Credit Unions,Finance,$10+ billion (USD),137,132,134.5,Data Scientist
101,Machine Learning Engineer,99 -132 ,4.4,"Stratagem Group
4.4",CO,"Aurora, CO","Aurora, CO",1 to 50 employees,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,137,132,134.5,NA
102,Health Data Scientist - Biomedical/Biostats,99 -132 ,4.1,"Evidation
4.1",CA,"Santa Barbara, CA","San Mateo, CA",51 to 200 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,137,132,134.5,Data Scientist
103,Senior Data Scientist,99 -132 ,4,"Autodesk
4.0",CA,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,132,134.5,Data Scientist
104,Staff Data Scientist,99 -132 ,4.4,"Intuit - Data
4.4",CA,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),137,132,134.5,Data Scientist
105,Data Scientist,99 -132 ,3.8,"Tecolote Research
3.8",UT,"Hill AFB, UT","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),137,132,134.5,Data Scientist
106,Sr Data Engineer (Sr BI Developer),99 -132 ,3.2,"Tivity Health
3.2",AZ,"Chandler, AZ","Franklin, TN",501 to 1000 employees,1981,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137,132,134.5,NA
107,Data Engineer,99 -132 ,2.9,"hc1
2.9",IN,"Indianapolis, IN","Indianapolis, IN",51 to 200 employees,2011,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),137,132,134.5,NA
108,Lead Data Scientist,99 -132 ,4.1,"HP Inc.
4.1",CA,"San Diego, CA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,132,134.5,Data Scientist
109,Data Scientist,99 -132 ,3.7,"SAIC
3.7",VA,"Chantilly, VA","Reston, VA",10000+ employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),137,132,134.5,Data Scientist
110,RFP Data Analyst,99 -132 ,3.2,"AllianceBernstein
3.2",TN,"Nashville, TN","New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),137,132,134.5,Data Analyst
111,Data Analyst,99 -132 ,4.9,"Big Huge Games
4.9",MD,"Timonium, MD","Lutherville Timonium, MD",51 to 200 employees,2013,Subsidiary or Business Segment,Video Games,Media,Unknown / Non-Applicable,137,132,134.5,Data Analyst
112,Data Scientist (TS/SCI),99 -132 ,3.5,"Maxar Technologies
3.5",VA,"Herndon, VA","Westminster, CO",5001 to 10000 employees,-1,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),137,132,134.5,Data Scientist
113,Data Engineer,99 -132 ,5,"Phantom AI
5.0",CA,"Burlingame, CA","Burlingame, CA",1 to 50 employees,2016,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,137,132,134.5,NA
114,Data Scientist,99 -132 ,4,"Noblis
4.0",VA,"Reston, VA","Reston, VA",1001 to 5000 employees,1996,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),137,132,134.5,Data Scientist
115,Data Scientist,99 -132 ,3.6,"Spring Health
3.6",NY,"New York, NY","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,137,132,134.5,Data Scientist
116,Software Engineer - Data Science,99 -132 ,4,"ClearEdge
4.0",MD,"Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),137,132,134.5,NA
117,Data Analyst/Engineer,99 -132 ,3.2,"AllianceBernstein
3.2",TN,"Nashville, TN","New York, NY",1001 to 5000 employees,1967,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),137,132,134.5,Data Analyst
118,NGS Scientist,99 -132 ,5,"Arsenal Biosciences
5.0",CA,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,137,132,134.5,Data Scientist
119,Data Engineer,99 -132 ,4.8,"GetWellNetwork
4.8",MD,"Bethesda, MD","Bethesda, MD",201 to 500 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),137,132,134.5,NA
120,Data Scientist,99 -132 ,4.5,"TACG Solutions
4.5",OH,"Dayton, OH","Beavercreek, OH",51 to 200 employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,137,132,134.5,Data Scientist
121,Senior Data Engineer,99 -132 ,4.7,"Scoop
4.7",CA,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,137,132,134.5,NA
